datum,varunummer,namn,typ,fran,till
2026-08-15,7153001,Bayanegra Verdejo,ny,,Ordervaror
2026-08-15,7147301,Terre Magre Sauvignon,ny,,Ordervaror
2026-08-15,7263501,Rebula Selekcija,ny,,Ordervaror
2026-08-15,8381701,Gilbert & Gaillard Roc Blanc,ny,,Ordervaror
2026-08-15,8002301,Terrazze Pinot Nero,ny,,Ordervaror
2026-08-15,5001901,In Exelsis Signature,ny,,Ordervaror
2026-08-15,8061101,Château de Chamirey Mercurey Rouge,ny,,Ordervaror
2026-08-15,5004001,Château de Chamirey Mercurey Premier Cru Clos du Roi,ny,,Ordervaror
2026-08-15,5015601,7 Deadly Red,ny,,Ordervaror
2026-08-15,5030101,Brunello di Montalcino Amore e Magia Podere le Ripi,ny,,Ordervaror
2026-08-15,227301,Château d'Eternes Saumur Rouge,ny,,Ordervaror
2026-08-15,7047101,Son Mayol Premier Vin,ny,,Ordervaror
2026-08-15,2238101,Fleur du Cap Shiraz Grenache Cinsault,ny,,Ordervaror
2026-08-15,7361501,CH By Chocapalha,ny,,Ordervaror
2026-08-15,7745801,Max Mann Pinot Noir,ny,,Ordervaror
2026-08-15,7073201,Valle de Nabal Tempranillo,ny,,Ordervaror
2026-08-15,7293701,Barbera d'Alba Volupta Bosco Agostino,ny,,Ordervaror
2026-08-15,7663501,Barolo La Serra,ny,,Ordervaror
2026-08-15,7420201,Severus Marcampo,ny,,Ordervaror
2026-08-15,7706201,Genuino,ny,,Ordervaror
2026-08-15,7239501,Giusto Alle Balze,ny,,Ordervaror
2026-08-15,3236101,Masi Brolo Campofiorin Oro,ny,,Ordervaror
2026-08-15,8266201,Terrazas de los Andes Cabernet Sauvignon,ny,,Ordervaror
2026-08-15,8225101,Comte de M,ny,,Ordervaror
2026-08-15,296901,Nipozzano Chianti Rúfina Riserva,ny,,Ordervaror
2026-08-15,8276201,Museum Real Reserva,ny,,Ordervaror
2026-08-15,7537601,Château de Lauga,ny,,Ordervaror
2026-08-15,546001,Bourgogne Hautes Côtes de Nuits Les Dames de Vergy,ny,,Ordervaror
2026-08-15,7417201,Côte de Beaune-Villages Maison Louis Jadot,ny,,Ordervaror
2026-08-15,7474601,Raats Family Cabernet Franc,ny,,Ordervaror
2026-08-15,7999901,Alon Galil label,ny,,Ordervaror
2026-08-15,7188901,Yiron Upper Galilee,ny,,Ordervaror
2026-08-15,7196701,Chateau Haut Bergey,ny,,Ordervaror
2026-08-15,7373701,Clos L'eglise,ny,,Ordervaror
2026-08-15,8011201,Noir Tenuta Mazzolino,ny,,Ordervaror
2026-08-15,8773101,Les Grèzes Pinot Noir,ny,,Ordervaror
2026-08-15,5757401,Champagne Geoffroy Rosé de Saignée,ny,,Ordervaror
2026-08-15,5757301,Champagne Geoffroy Blanc de Rosé Premier Cru Extra Brut,ny,,Ordervaror
2026-08-15,8753108,Deutz Brut Classic,ny,,Ordervaror
2026-08-15,8753109,Deutz Brut Classic,ny,,Ordervaror
2026-08-15,7770301,West Seafoam Blanc de Blancs Extra Brut,ny,,Ordervaror
2026-08-15,7753701,Los Monteros Cava Brut,ny,,Ordervaror
2026-08-15,5754901,Le Gallais Le Poète Rosé,ny,,Ordervaror
2026-08-15,5757701,Champagne Geoffroy Pureté Premier Cru Brut Nature,ny,,Ordervaror
2026-08-15,5757201,Champagne Geoffroy Empreinte Millésime Extra Brut,ny,,Ordervaror
2026-08-15,7217006,Bollinger PN TX 20,ny,,Ordervaror
2026-08-15,7010206,Bollinger R.D.,ny,,Ordervaror
2026-08-15,7037201,Rosé Sprudl,ny,,Ordervaror
2026-08-15,7570001,Champagne Sendron Destouches Crescendo Brut Nature Blanc de Noirs,ny,,Ordervaror
2026-08-15,7053701,Banette Rosé,ny,,Ordervaror
2026-08-15,7468104,Piper Heidsieck Brut,ny,,Ordervaror
2026-08-15,7743302,Piper Heidsieck Brut,ny,,Ordervaror
2026-08-15,7615901,Etienne Calsac Les Rocheforts Premier Cru Blanc de Blancs,ny,,Ordervaror
2026-08-15,7229001,Wolf & Woman Rosé,ny,,Ordervaror
2026-08-15,7015901,Chateau D'Esclans Garrus,ny,,Ordervaror
2026-08-15,7962306,Gris Blanc Rosé Gérard Bertrand,ny,,Ordervaror
2026-08-15,7353401,Kotsifali Rosé,ny,,Ordervaror
2026-08-15,7496701,Liatiko Kedros,ny,,Ordervaror
2026-08-15,7641201,Nostos Pink,ny,,Ordervaror
2026-08-15,5593401,Munferié Vino Rosato,ny,,Ordervaror
2026-08-15,7694201,Grand Mayne Rosé,ny,,Ordervaror
2026-08-15,5017701,La Gordonne Multi-Millésime Les Grands Domaines du Littoral,ny,,Ordervaror
2026-08-15,7135701,Roseline Prestige Provence Rosé,ny,,Ordervaror
2026-08-15,5600701,Studio by Miraval Rosé,borttagen,Ordervaror,
2026-08-15,7271601,Oscar Haussmann Dry Riesling,borttagen,Ordervaror,
2026-08-15,9582301,Chiara Condello Predappio,borttagen,Tillfälligt sortiment,
2026-08-15,9278001,Château Talbot,borttagen,Tillfälligt sortiment,
2026-08-15,9212701,Marith Pinot Nero,borttagen,Tillfälligt sortiment,
2026-08-15,9430001,Giuseppe Quintarelli Valpolicella Classico Superiore,borttagen,Tillfälligt sortiment,
2026-08-15,9366301,Echezeaux Grand Cru Lucien le Moine,borttagen,Tillfälligt sortiment,
2026-08-15,9393201,Corton-Charlemagne Grand Cru Lucien le Moine,borttagen,Tillfälligt sortiment,
2026-08-15,9293401,Morgon Janin,borttagen,Tillfälligt sortiment,
2026-08-15,9280401,Champagne Deutz Blanc de Blancs,borttagen,Tillfälligt sortiment,
2026-08-15,7102101,Finca Rio Negro Tempranillo Merlot Syrah Cabernet Sauvignon,borttagen,Ordervaror,
2026-08-15,9401006,Wittmann Morstein Riesling Grosses Gewächs,borttagen,Tillfälligt sortiment,
2026-08-15,3508101,Skinny Love,borttagen,Lokalt & Småskaligt,
2026-08-15,5119306,Bread & Butter Cabernet Sauvignon,borttagen,Ordervaror,
2026-08-15,3066101,Fuchs und Hase Pet Nat Vol 2,borttagen,Tillfälligt sortiment,
2026-08-15,9417001,Barbaresco Il Bricco Pio Cesare,borttagen,Tillfälligt sortiment,
2026-08-15,9292901,Piero Busso Barbaresco Mondino,borttagen,Tillfälligt sortiment,
2026-08-15,9431801,Chablis Tête d'Or Billaud-Simon,borttagen,Tillfälligt sortiment,
2026-08-15,9124708,"Barolo Vigna Le Rocche Riserva, Bruno Giacosa",borttagen,Tillfälligt sortiment,
2026-08-15,9405006,Gaja Barbaresco,borttagen,Tillfälligt sortiment,
2026-08-15,9600501,La Mateo,borttagen,Tillfälligt sortiment,
2026-08-15,9419801,Quiñon de Valmira,borttagen,Tillfälligt sortiment,
2026-08-15,9291101,Barolo Rocche dell'Annunziata Francesco Rinaldi & Figli,borttagen,Tillfälligt sortiment,
2026-08-15,9335401,Sancerre Mosaïque Calcaire Domaine Claude Riffault,borttagen,Ordervaror,
2026-08-15,9063101,Malbec Argentino Bodega Catena Zapata,borttagen,Tillfälligt sortiment,
2026-08-15,9033901,Puligny-Montrachet Village Henri Boillot,borttagen,Tillfälligt sortiment,
2026-08-15,7516301,il Momento,borttagen,Ordervaror,
2026-08-15,9459901,Cavallotto Dolcetto d'Alba Vigna Scot,borttagen,Tillfälligt sortiment,
2026-08-15,9338701,Bodega Numanthia,borttagen,Tillfälligt sortiment,
2026-08-15,5425001,Montevetrano,borttagen,Ordervaror,
2026-08-15,792701,Codorníu Ecológica Brut,borttagen,Ordervaror,
2026-08-15,9388501,Rosso di Montalcino Ciacci Piccolomini,borttagen,Tillfälligt sortiment,
2026-08-15,9019501,Zinfandel Frog's Leap,borttagen,Tillfälligt sortiment,
2026-08-15,291001,Bründlmayer Grüner Veltliner,borttagen,Ordervaror,
2026-08-15,7822701,Crémant de Bourgogne Pinot Noir Brut,borttagen,Ordervaror,
2026-08-15,9424201,Negre de Negres Portal del Priorat,borttagen,Tillfälligt sortiment,
2026-08-15,9601001,Riesling Alte Reben Weingut Carl Loewen,borttagen,Tillfälligt sortiment,
2026-08-15,9511101,Milan Nestarec WTB,borttagen,Tillfälligt sortiment,
2026-08-15,8160301,Vinistella La Passione Parziale Appassimento,borttagen,Ordervaror,
2026-08-15,3944501,Cimbria Blå,borttagen,Lokalt & Småskaligt,
2026-08-15,7569401,Finca Las Moras Sauvignon Blanc,borttagen,Ordervaror,
2026-08-15,9456701,Tamjanika Bellucci,borttagen,Tillfälligt sortiment,
2026-08-15,9545201,Ars Nova Bodegas Tandem,borttagen,Tillfälligt sortiment,
2026-08-15,9030301,Mâcon Fuissé Les Chailles Domaine Barraud,borttagen,Tillfälligt sortiment,
2026-08-15,9054601,Curral Teles Lota Mateus Nicolau de Almeida,borttagen,Tillfälligt sortiment,
2026-08-15,9127501,Meursault Premier Cru Les Gouttes d'Or Arnaud Ente,borttagen,Tillfälligt sortiment,
2026-08-15,9379901,Bourgogne Passetoutgrain Domaine Robert Groffier Père et Fils,borttagen,Tillfälligt sortiment,
2026-08-15,9442601,Paul Sauer Kanonkop Wine Estate,borttagen,Tillfälligt sortiment,
2026-08-15,9470201,Conterno Vigna Valferana Cantine Nervi,borttagen,Tillfälligt sortiment,
2026-08-15,9484201,Felton Road Bannockburn Chardonnay,borttagen,Tillfälligt sortiment,
2026-08-15,7860701,Russian River Pinot Noir Estate Vineyard DuMOL,borttagen,Ordervaror,
2026-08-15,7207301,Sancerre Les Fredins Gitton Père & Fils,borttagen,Ordervaror,
2026-08-15,7139901,Guimaro Mencia,borttagen,Ordervaror,
2026-08-15,7549201,Pernand Vergelesses 1er Cru Les Vergelesses Domaine Antonin Guyon,borttagen,Ordervaror,
2026-08-15,7396408,Minuty Prestige Rosé,borttagen,Ordervaror,
2026-08-15,7713401,Nuiton-Beaunoy Bourgogne Hautes Côtes de Beaune Grande Cuvée,borttagen,Ordervaror,
2026-08-15,9502801,Piattelli Malbec Rosé,borttagen,Tillfälligt sortiment,
2026-08-15,9271301,Van Volxem Saar Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,3156801,Ljungbyholms Vingård Johanniter,borttagen,Lokalt & Småskaligt,
2026-08-15,9044901,Cuvée Colette Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9011814,Bourgogne Grand Elevage Djuce Verget,borttagen,Tillfälligt sortiment,
2026-08-15,9354001,Vega Sicilia Valbuena 5º,borttagen,Tillfälligt sortiment,
2026-08-15,7068901,Nero D'Avola Sicilia Danese,borttagen,Ordervaror,
2026-08-15,9242801,Tradita Prokupa,borttagen,Tillfälligt sortiment,
2026-08-15,7287701,Muga Blanco,borttagen,Ordervaror,
2026-08-15,3226001,Åhus Solaris XO.3,borttagen,Lokalt & Småskaligt,
2026-08-15,9011201,Crozes-Hermitage Domaine des Lises,borttagen,Tillfälligt sortiment,
2026-08-15,9472001,Fitapreta Branco de Talha,borttagen,Tillfälligt sortiment,
2026-08-15,9133001,Marcio Lopes Pequenos Rebentos Atlantico,borttagen,Tillfälligt sortiment,
2026-08-15,9553801,Cuvée Sextant Orfée,borttagen,Tillfälligt sortiment,
2026-08-15,9533801,Königsbecher Pinot Noir GG,borttagen,Tillfälligt sortiment,
2026-08-15,5014501,Meinklang Graupert,borttagen,Ordervaror,
