Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
208601,https://www.vivino.com/w/1128252,4.1,3825,
7252406,https://www.vivino.com/sv/black-stallion-cabernet-sauvignon/w/1166077,4.1,40341,
759802,https://www.vivino.com/w/1122092,4.1,32676,
7366101,https://www.vivino.com/w/1206114,4.1,773,
796202,https://www.vivino.com/sv/la-rame-bordeaux-rouge/w/1718633,3.7,1099,
214401,https://www.vivino.com/w/18794,4.1,588,
2307101,https://www.vivino.com/w/1169875,4.1,270,
300401,https://www.vivino.com/w/1155918,4.1,50,
355001,https://www.vivino.com/sv/labadie-medoc/w/1177846,3.8,8627,
9593401,https://www.vivino.com/w/1122192,4.1,709,
9208201,https://www.vivino.com/sv/domaine-des-crets-climat-l-echenault-de-serre-macon-chardonnay/w/5494538,4.1,3380,
9449101,https://www.vivino.com/w/1179898,4.1,28,
9450101,https://www.vivino.com/w/8413099,4.1,162,
9437401,https://www.vivino.com/w/1895060,4.1,231,
8140101,https://www.vivino.com/sv/jean-biecher-pinot-gris-organic/w/1682556,3.7,4811,
295135,https://www.vivino.com/sv/pizzolato-so-easy-moscato-dolce-frizzante/w/1658531,3.8,188,
7115901,https://www.vivino.com/sv/fr-patriarche-pere-fils-cuvee-des-visitandines-bourgogne-chardonnay/w/7970850,3.6,700,
7667101,https://www.vivino.com/sv/bread-and-butter-pinot-noir/w/1724151,4.0,97263,
670701,https://www.vivino.com/w/1201076,4,1347,
721801,https://www.vivino.com/w/24262,4,1259,
408702,https://www.vivino.com/sv/menota-sauternes-sauternes/w/1404582,4.0,208,
270501,https://www.vivino.com/sv/ricasoli-brolio-chianti-classico-riserva/w/1285396,4.0,6839,
7203401,https://www.vivino.com/sv/alain-jaume-domaine-grand-veneur-cotes-du-rhone-organic-reserve/w/7045000,3.7,507,
7668601,https://www.vivino.com/sv/casa-marzoni-gran-marzoni-appassimento-primiero/w/6691225,4.0,11508,
759201,https://www.vivino.com/sv/nicolas-feuillatte-collection-vintage-blanc-de-blancs-brut-millesime-champagne/w/6266015,4.0,12031,
7580201,https://www.vivino.com/sv/frantzen-cauble-signature-blend-cotes-du-rhone/w/12550614,4.0,2163,
9513201,https://www.vivino.com/w/1161809,4,433,
7412501,https://www.vivino.com/sv/pierre-chavin-cotes-de-provence-organic-rose/w/2417810,3.7,2207,
1238501,https://www.vivino.com/w/12385,4,477,
2232501,https://www.vivino.com/sv/domaine-des-tourelles-bekaa-valley-marquis-des-beys-rouge/w/1145002,4.0,4705,
536404,https://www.vivino.com/w/1193567,4,54,
7022701,https://www.vivino.com/w/6027081,4,1297,
2006214,https://www.vivino.com/sv/commanderie-de-la-bargemone-commanderie-de-la-bargemone-rose/w/1234771,4.0,3218,
9007801,https://www.vivino.com/sv/chateau-de-campuget-seventeen-fiftythree-syrah-grenache/w/7841046,4.0,216,
228702,https://www.vivino.com/sv/weingut-hans-und-christine-nittnaus-beerenauslese-exquisit/w/1376149,4.0,2139,
468202,https://www.vivino.com/w/1237190,4,228,
9281101,https://www.vivino.com/sv/rogue-vine-jamon-jamon-grand-itata-white-valle-de-itata/w/5694643,4.0,804,
559501,https://www.vivino.com/sv/jean-marc-brocard-chablis-sainte-claire-vieilles-vignes/w/1374713,4.0,10622,
255001,https://www.vivino.com/sv/domaine-helena-cabernet-sauvignon/w/12880702,4.0,262,
9241801,https://www.vivino.com/sv/ameztoi-txakoli-txakoli-blanco/w/2495226,4.0,6423,
556501,https://www.vivino.com/w/1180709,4,1390,
9428301,https://www.vivino.com/sv/bargemone-libre-rose/w/12541119,4.0,82,
7930701,https://www.vivino.com/w/5282020,4,1281,
9500901,https://www.vivino.com/sv/causse-d-arboras-153586-l-extreme/w/7349686,4.0,219,
745001,https://www.vivino.com/sv/launois-pere-and-fils-reserve-blanc-de-blancs-champagne-grand-cru-le-mesnil-sur-oger/w/1323547,4.0,4334,
5404101,https://www.vivino.com/sv/haut-mouleyres-cremant-de-bordeaux-brut/w/9611439,3.8,2321,
270502,https://www.vivino.com/sv/ricasoli-brolio-chianti-classico-riserva/w/1285396,4.0,6839,
564801,https://www.vivino.com/w/24094,4,105,
369002,https://www.vivino.com/w/1155918,4,433,
223501,https://www.vivino.com/sv/black-stallion-pinot-noir/w/3645800,4.0,10436,
7935301,https://www.vivino.com/w/1222363,4,448,
7725301,https://www.vivino.com/sv/andre-clouet-brut-rose-no-3-champagne/w/11963626,4.0,3460,
9216601,https://www.vivino.com/sv/bernard-massard-cuvee-1921/w/9423766,4.0,208,
9010401,https://www.vivino.com/sv/domaine-breton-catherine-pierre-breton-la-dilettante-brut/w/1722503,4.0,939,
7012001,https://www.vivino.com/sv/anima-negra-an-2/w/86683,4.0,28201,
2256201,https://www.vivino.com/w/6369,4,392,
7536001,https://www.vivino.com/sv/black-stallion-chardonnay/w/1247400,4.0,9804,
9017301,https://www.vivino.com/sv/pyros-malbec/w/13515802,3.8,26,
9271601,https://www.vivino.com/w/1841929,4,983,
2031001,https://www.vivino.com/sv/anselmo-mendes-contacto-loureiro/w/13220892,3.9,229,
168401,https://www.vivino.com/sv/terre-dei-miti-etna-rosso/w/12463581,3.9,279,
471401,https://www.vivino.com/w/1181889,3.9,27,
420001,https://www.vivino.com/w/1590184,3.9,619,
631101,https://www.vivino.com/sv/stoneleigh-lighter-sauvignon-blanc/w/7055329,3.9,173,
1200001,https://www.vivino.com/w/1100196,3.9,620,
252501,https://www.vivino.com/sv/baron-de-ley-rioja-reserva/w/21584,3.9,77260,
7357001,https://www.vivino.com/w/4405548,3.9,2362,
7418901,https://www.vivino.com/sv/botter-zecci-valpolicella-ripasso-superiore-valpolicella-ripasso/w/5624038,3.9,8596,
746901,https://www.vivino.com/sv/konigsmosel-riesling/w/1644807,3.7,8075,
212901,https://www.vivino.com/w/1173844,3.9,533,
7563001,https://www.vivino.com/sv/valpolicella-negrar-castelmare-valpolicella-ripasso-superiore-ea64f0/w/6302265,3.8,3016,
212902,https://www.vivino.com/w/1173844,3.9,533,
130201,https://www.vivino.com/w/1100122,3.9,1360,
320401,https://www.vivino.com/sv/doppio-passo-primitivo-bio/w/2468762,3.9,16326,
7396601,https://www.vivino.com/sv/zensa-puglia-primitivo/w/2375106,3.9,21650,
7518101,https://www.vivino.com/sv/domaine-lalande-sauvignon-blanc/w/2218010,3.6,1957,
528301,https://www.vivino.com/w/2816,3.9,150,
746902,https://www.vivino.com/sv/konigsmosel-riesling/w/1644807,3.7,8075,
274102,https://www.vivino.com/sv/nederburg-estate-the-winemaster-s-noble-late-harvest/w/61394,3.9,5704,
7493501,https://www.vivino.com/w/2078187,3.9,784,
652001,https://www.vivino.com/w/2232,3.9,533,
740401,https://www.vivino.com/w/1362079,3.9,965,
282535,https://www.vivino.com/sv/adega-de-moncao-alvarinho-deu-la-deu/w/1150168,3.9,17080,
1200002,https://www.vivino.com/w/1100196,3.9,620,
7592201,https://www.vivino.com/sv/vinimundi-pinot-grigio/w/12962482,3.9,84,
9544501,https://www.vivino.com/w/1758784,3.9,161,
579801,https://www.vivino.com/w/2816,3.9,150,
149202,https://www.vivino.com/sv/xavier-vignon-vacqueyras/w/1189540,3.9,4031,
2017501,https://www.vivino.com/sv/adega-de-moncao-alvarinho-deu-la-deu/w/1150168,3.9,17080,
230001,https://www.vivino.com/w/1656,3.9,9345,
9251701,https://www.vivino.com/sv/le-plateau-des-chenes-lirac/w/1204576,3.9,3588,
9250801,https://www.vivino.com/sv/aphros-phaunus-loureiro/w/5296311,3.9,1699,
9542401,https://www.vivino.com/sv/punica-montessu/w/1126888,3.9,22596,
