Varunummer,Vivino_pris_per_750ml,Vivino_prispunkter,Vivino_prisargang
9417001,1579.0,1,2020
9321101,1320.99,3,2013
9360901,1428.0,1,2013
5481101,529.95,2,2016
9617401,319.95,3,2023
9473101,221.5,2,2025
7285201,398.68,2,2005
9279801,319.95,2,2022
9323601,339.95,2,2023
7421201,120.49,1,2020
234502,595.0,1,2021
7808701,310.0,1,2018
9327401,260.66,2,2023
9363506,1703.29,4,2021
9048301,717.17,2,2022
9454101,1591.32,4,2019
9347901,137.94,2,2018
9459801,552.45,2,2013
9234101,1350.15,1,1967
9349601,408.0,1,2023
9034601,466.3,2,2020
9416201,3785.49,3,2021
9547101,1237.62,2,2019
9267001,1110.64,2,2020
9242301,6159.0,1,2021
9292901,832.67,2,2023
9260306,1486.0,1,2015
9064301,1320.99,3,2013
9219101,1428.0,1,2013
9587706,1126.07,1,2016
9395201,1764.87,2,2012
9453201,4581.0,1,2021
9446401,2136.0,1,2014
9003101,1616.99,2,2020
9313401,1199.0,1,2021
9461401,1013.46,3,2020
9425601,3195.0,1,2016
9519401,3801.84,2,2020
9531401,3372.28,2,2016
9337801,1428.0,1,2013
9534601,1124.94,1,1970
9405006,4917.04,2,2008
9600501,314.17,1,2022
9116801,1489.95,2,2019
9291101,651.99,1,2018
9219801,1299.34,2,2022
9113601,1173.0,3,2021
9300701,799.51,1,2021
9353201,651.99,1,2018
224601,159.0,1,2014
1200201,149.0,1,2013
757901,2626.68,6,2018
9410701,529.95,2,2017
9382801,1556.22,3,2020
7437501,1904.0,1,2022
7388602,304.04,5,2025
9357701,1076.1,2,2021
9600301,1078.97,2,2022
9215101,4917.04,2,2008
9403901,1800.0,1,2015
9231001,273.0,1,0
9588601,409.61,2,2021
9063101,609.95,2,2012
5489902,822.03,5,2023
7054701,1115.49,2,2019
9363301,387.85,4,2024
5737801,291.0,4,2023
9014601,189.0,1,0
5321001,549.0,1,2021
9252001,2990.0,1,2007
9296106,6159.0,1,2021
210801,159.0,1,2016
9444501,2072.0,1,1998
7646301,440.2,2,2024
648401,306.97,1,0
5979701,383.8,2,2023
7695301,146.39,1,2022
216201,155.0,1,2024
201501,190.87,1,2024
7416601,99.0,1,2012
9037801,385.11,1,0
9523901,586.5,1,2021
9459901,278.26,2,2024
9338701,651.99,3,2020
7458702,220.0,3,2025
