Varunummer,Namn,Producent,Ursprung,Druvor,Status,Funnen_Vivino_url,Vivino_winery,Vivino_wine_name,Vivino_betyg,Vivino_antal_recensioner,Producer_check,Product_check,Country_ok,Grape_ok,Systembolaget_url
272401,Les Lauzeraies Tavel,Les Vignerons de Tavel,Frankrike,"Bourboulenc, Carignan, Cinsault, Grenache, Mourvèdre",Matchad,https://www.vivino.com/sv/les-vignerons-de-tavel-les-lauzeraies-tavel-rose/w/42514,Les Vignerons de Tavel,Les Lauzeraies Tavel Rosé,3.6,2728,True,True,True,True,https://www.systembolaget.se/produkt/vin/-272401/
9517101,Phermento Lambrusco di Sorbara,Medici Ermete & Figli,Italien,Lambrusco di sorbara,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-9517101/
395806,Château de Seguin,Château de Seguin,Frankrike,"Merlot, Cabernet sauvignon",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-395806/
219301,Let every moment Spark Brut,Juhászvin,Ungern,,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-219301/
796115,Ginger Prince Rosé Bubbles,Fowles Wine,Australien,"Shiraz, Riesling, Chardonnay, Vermentino",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-796115/
7401201,Atlântimor Alvarinho,Rubic Beverages AB,Portugal,Alvarinho,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7401201/
626501,Rua Pinot Noir,Mora Wines,Nya Zeeland,Pinot noir,Matchad,https://www.vivino.com/sv/mora-pinot-noir/w/11648653,Mora,Pinot Noir,4.2,97,True,True,True,True,https://www.systembolaget.se/produkt/vin/-626501/
9041901,Sancerre Côte de Champtin Blanc,Domaine Roger Champault,Frankrike,Sauvignon blanc,Matchad,https://www.vivino.com/sv/roger-champault-cote-de-champtin-sancerre-blanc/w/1188782,Roger Champault,Côte de Champtin Sancerre Blanc,4.0,974,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9041901/
9517001,Montepulciano d'Abruzzo Valle Reale,Valle Reale SRL Societa Agricola,Italien,Montepulciano,Matchad,https://www.vivino.com/sv/valle-reale-srl-montepulciano-d-abruzzo/w/10481,Valle Reale,Montepulciano d'Abruzzo,3.8,5746,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9517001/
9438714,Birichino Scylla,Birichino,USA,"Carignan, Grenache, Mourvèdre",Matchad,https://www.vivino.com/sv/birichino-scylla/w/7012429,Birichino,Scylla,3.9,1246,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9438714/
321001,Garzón Reserva Tannat,Bodega Garzón,Uruguay,Tannat,Matchad,https://www.vivino.com/sv/bodega-garzon-reserva-tannat/w/1236752,Bodega Garzón,Reserva Tannat,4.0,66361,True,True,True,True,https://www.systembolaget.se/produkt/vin/-321001/
9299801,Nat’Cool Drink Me Branco Niepoort Vinhos,Niepoort Vinhos,Portugal,,Matchad,https://www.vivino.com/sv/niepoort-drink-me-nat-cool-branco/w/7418983,Niepoort,Drink Me Nat Cool Branco,3.9,3841,True,True,True,False,https://www.systembolaget.se/produkt/vin/-9299801/
9221601,Cuvelier los Andes Colección,Cuvelier Los Andes,Argentina,"Malbec, Syrah, Cabernet sauvignon, Merlot, Petit verdot",Matchad,https://www.vivino.com/sv/cuvelier-los-andes-coleccion/w/24974,Cuvelier Los Andes,Colección,4.0,8557,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9221601/
9570701,Tua Rita Perlato del Bosco Vermentino,Tua Rita,Italien,Vermentino,Matchad,https://www.vivino.com/sv/tua-rita-perlato-del-bosco-toscana-vermentino/w/5910141,Tua Rita,Perlato del Bosco Toscana Vermentino,3.8,1460,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9570701/
7557001,Château de Lussac,SCEA du Château de Lussac,Frankrike,"Merlot, Cabernet franc",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7557001/
217901,Brown & Co Chardonnay,Brown Family Wine Group,Australien,Chardonnay,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-217901/
9318501,Love you Bunches Sangiovese,Stolpman Vineyards,USA,Sangiovese,Matchad,https://www.vivino.com/sv/stolpman-vineyards-llc-love-you-bunches-sangiovese/w/5312313,Stolpman Vineyards,Love You Bunches Sangiovese,3.9,9183,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9318501/
9004501,Campolargo Baga & Castelão,Campolargo,Portugal,"Baga, Castelão",Matchad,https://www.vivino.com/sv/campolargo-baga-castelao/w/10401355,Campolargo,Baga - Castelão,4.0,203,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9004501/
9417301,Terres Dorées Beaujolais L'Ancien,Terres Dorées,Frankrike,Gamay,Matchad,https://www.vivino.com/sv/terres-dorees-l-ancien-beaujolais/w/1294011,Terres Dorées,L'Ancien Beaujolais,3.7,9400,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9417301/
9205601,Taittinger Brut Millésimé,Taittinger,Frankrike,"Chardonnay, Pinot noir",Matchad,https://www.vivino.com/sv/taittinger-millesime-brut-champagne/w/1147885,Taittinger,Millésimé Brut Champagne,4.3,11509,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9205601/
9362101,Capraia Chianti Classico Riserva,Tenuta Di Capraia,Italien,Sangiovese,Matchad,https://www.vivino.com/sv/capraia-chianti-classico-riserva/w/1148286,Capraia,Chianti Classico Riserva,3.9,2503,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9362101/
9322801,Le Molacce Trebbiano Spoletino,Arnaldo-Caprai,Italien,Trebbiano,Matchad,https://www.vivino.com/sv/arnaldo-caprai-le-molacce-trebbiano-spoletino/w/12538692,Arnaldo-Caprai,Le Molacce Trebbiano Spoletino,3.8,184,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9322801/
9055801,Vincent Joudart Special Club,Vincent Joudart,Frankrike,"Pinot meunier, Chardonnay, Pinot noir",Matchad,https://www.vivino.com/sv/vincent-joudart-special-club-brut-millesime-champagne/w/3845811,Vincent Joudart,Special Club Brut Millésime Champagne,4.1,1077,True,True,True,True,https://www.systembolaget.se/produkt/vin/-9055801/
