Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
9352401,Sancerre Mainbré Domaine de Pré Semelé,Domaine de Pré Semelé Julien & Clément Raimbault,269.0,750 ml,Glasflaska,Friskt & Fruktigt,Frankrike,Sauvignon blanc,4.1,406,,websearch,https://www.vivino.com/sv/claude-remy-et-julien-raimbault-mainbre-sancerre-blanc/w/12643106
751804,Moët & Chandon Brut Impérial,Moët & Chandon,179.0,200 ml,Lättare glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.1,32676,0.86,vivino-sök,https://www.vivino.com/w/1122092
7367201,5 Finques Reserva,Castillo de Perelada,149.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Spanien,"Cabernet sauvignon, Garnatxa, Merlot, Syrah, Samsó",4.1,27072,,vertex-ai-search,https://www.vivino.com/sv/castillo-perelada-five-finques-fincas-reserva/w/99328
628801,Vouvray Domaine Des Lauriers,Domaine des Lauriers,159.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Chenin blanc,3.8,3739,,websearch,https://www.vivino.com/sv/laurent-kraft-domaine-des-lauriers-vouvray-sec/w/2066018
239801,Barolo Albe G.D. Vajra,G.D. Vajra,309.0,750 ml,Lättare glasflaska,Stramt & Nyanserat,Italien,Nebbiolo,4.1,2112,0.83,vivino-sök,https://www.vivino.com/w/1100124
792501,Moscato d'Asti Gianni Doglia,Gianni Doglia,115.0,750 ml,Glasflaska,Sött,Italien,,4.1,498,0.83,vivino-sök,https://www.vivino.com/w/2728962
748701,Deutz Brut Classic,Deutz,579.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.1,35815,0.8,vivino-sök,https://www.vivino.com/w/1178663
1235706,Brunello di Montalcino Col d'Orcia,Col d'Orcia,709.0,1500 ml,Glasflaska,Kryddigt & Mustigt,Italien,Brunello,4.1,55281,0.89,vivino-sök,https://www.vivino.com/w/73468
208601,The Chocolate Block,Boekenhoutskloof,269.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Sydafrika,"Syrah, Viognier, Cabernet sauvignon, Cinsault, Grenache",4.1,3825,1.0,vivino-sök,https://www.vivino.com/w/1128252
7252406,Black Stallion Napa Valley Cabernet Sauvignon,Black Stallion Estate Winery,699.0,1500 ml,Glasflaska,Fruktigt & Smakrikt,USA,,4.1,40341,,vertex-ai-search,https://www.vivino.com/sv/black-stallion-cabernet-sauvignon/w/1166077
759802,Moët & Chandon Rosé Impérial,Moët & Chandon,339.0,375 ml,Glasflaska,Rosé,Frankrike,,4.1,32676,0.84,vivino-sök,https://www.vivino.com/w/1122092
7366101,Borgogno No Name,Giacomo Borgogno & Figli,319.0,750 ml,Glasflaska,Stramt & Nyanserat,Italien,Nebbiolo,4.1,773,0.8,vivino-sök,https://www.vivino.com/w/1206114
