Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
7406901,NVDE Macabeu Ciment,Cellers Avgvstvs Forvm,365.0,750 ml,Lättare glasflaska,,Spanien,Macabeo,Ordervaror,False,2024-07-10,2020,False,False,False,False
7104701,Cora de Loxarel 2023,Loxarel,190.0,750 ml,Glasflaska,,Spanien,,Ordervaror,False,2024-09-23,,False,False,False,False
9262201,Vouvray Cuvée Silex Vigneau Chevreau,Domaine Vigneau-Chevreau,219.0,750 ml,Glasflaska,,Frankrike,Chenin blanc,Ordervaror,False,2025-03-21,2024,True,False,False,False
7594601,Chablis Grand Cru Vaudésir Domaine de l´Enclos,Domaine de l'Enclos,759.0,750 ml,Glasflaska,,Frankrike,Chardonnay,Ordervaror,False,2024-07-22,2022,False,False,False,False
7528801,Hajszan Natural Grüner Veltliner,Weingut Hajszan Neumann,209.0,750 ml,Glasflaska,,Österrike,Grüner veltliner,Ordervaror,False,2024-07-23,2022,False,False,False,False
7704901,Pascal Jolivet Les Caillottes,Pascal Jolivet,349.0,750 ml,Glasflaska,,Frankrike,Sauvignon blanc,Ordervaror,False,2024-07-23,2022,False,False,False,False
7534901,El Fanio,Albet i Noya,219.0,750 ml,Lättare glasflaska,,Spanien,,Ordervaror,False,2024-09-16,2024,False,False,False,False
7587401,Sattlerhof Ried Kranachberg Sauvignon Blanc,Weingut Sattlerhof,579.0,750 ml,Glasflaska,,Österrike,Sauvignon blanc,Ordervaror,False,2024-07-29,2021,False,False,False,False
7505201,Sattlerhof Sauvignon Blanc,Weingut Sattlerhof,209.0,750 ml,Glasflaska,,Österrike,Sauvignon blanc,Ordervaror,False,2024-07-29,2024,False,False,False,False
7409801,Lukas Kesselring Riesling,Lukas Kesselring,139.0,750 ml,Glasflaska,,Tyskland,,Ordervaror,False,2024-08-05,,False,False,False,False
7593501,Weingut Tement Morillon Muschelkalk,Weingut Tement,329.0,750 ml,Glasflaska,,Österrike,Chardonnay,Ordervaror,False,2024-08-05,2022,False,False,False,False
7497902,La Cappuccina Arzimo recioto di Soave,La Cappuccina Societa Agricola Semplice,289.0,500 ml,Glasflaska,Sött,Italien,,Ordervaror,False,2024-08-20,2019,False,False,False,False
7538401,Grillo Blues Paolo Calì,Paolo Calí,199.0,750 ml,Glasflaska,,Italien,Grillo,Ordervaror,False,2024-09-03,2023,False,True,False,True
7466201,Weingut Bernhard Ott Ott Der Ott,Weingut Bernhard Ott,289.0,750 ml,Glasflaska,,Österrike,Grüner veltliner,Ordervaror,False,2024-09-03,2023,True,False,False,False
7706401,Weingut Bernhard Ott Ott Ried Gmirk Gösing,Weingut Bernhard Ott,399.0,750 ml,Glasflaska,,Österrike,Grüner veltliner,Ordervaror,False,2024-09-03,2023,False,False,False,False
7427401,Weingut Bernhard Ott Ott Fass 4,Weingut Bernhard Ott,299.0,750 ml,Glasflaska,,Österrike,Grüner veltliner,Ordervaror,False,2024-08-27,2023,True,False,False,False
7109901,Sancerre Le Grand Rochoy Domaine Laporte,Domaine Laporte,349.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2024-09-30,2022,False,False,False,False
7567901,Ribas Blanc,Bodega Ribas,245.0,750 ml,Glasflaska,,Spanien,,Ordervaror,False,2024-09-09,2025,False,False,False,False
